idCarpeta;Delito;Categoria;FechaHecho;Año_hecho;Mes_hecho;Mes_año_hecho;Sexo;Edad;TipoPersona;CalidadJuridica;lon;lat;geopoint
;VIOLENCIA FAMILIAR;;26/05/19 22:00;2019;Mayo;2019_05;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;-99.27435964;19.34692584;19.34692584, -99.27435964
;ABUSO DE CONFIANZA;;23/05/19 12:00;2019;Mayo;2019_05;Femenino;34;FISICA;VICTIMA Y DENUNCIANTE;-99.2225504;19.2849908;19.2849908, -99.2225504
;NARCOMENUDEO POSESION SIMPLE;;28/05/19 16:45;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.14520313;19.44494072;19.44494072, -99.14520313
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;28/05/19 13:40;2019;Mayo;2019_05;Masculino;62;FISICA;VICTIMA Y DENUNCIANTE;-99.0683384;19.34791844;19.34791844, -99.0683384
;NARCOMENUDEO POSESION SIMPLE;;28/05/19 16:00;2019;Mayo;2019_05;NA;NA;FISICA;VICTIMA;-99.14090325;19.23972167;19.23972167, -99.14090325
;VIOLENCIA FAMILIAR;;23/05/19 22:30;2019;Mayo;2019_05;Femenino;49;FISICA;VICTIMA Y DENUNCIANTE;-99.0845674;19.3500594;19.3500594, -99.0845674
;ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO;;27/05/19 6:45;2019;Mayo;2019_05;Masculino;28;FISICA;VICTIMA Y DENUNCIANTE;-99.0544232;19.3421887;19.3421887, -99.0544232
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;28/05/19 10:41;2019;Mayo;2019_05;Masculino;18;FISICA;VICTIMA Y DENUNCIANTE;-99.14398784;19.35730775;19.35730775, -99.14398784
;AMENAZAS;;28/05/19 10:00;2019;Mayo;2019_05;Masculino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.15411844;19.44099347;19.44099347, -99.15411844
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;27/05/19 14:30;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.0200287;19.2942029;19.2942029, -99.0200287
;VIOLENCIA FAMILIAR;;27/05/19 9:30;2019;Mayo;2019_05;Masculino;47;FISICA;VICTIMA Y DENUNCIANTE;-99.05516731;19.38927388;19.38927388, -99.05516731
;ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA;;28/05/19 15:40;2019;Mayo;2019_05;Masculino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.17921776;19.46447554;19.46447554, -99.17921776
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;28/05/19 10:30;2019;Mayo;2019_05;Masculino;63;FISICA;VICTIMA Y DENUNCIANTE;-99.09861507;19.25416584;19.25416584, -99.09861507
;ROBO DE OBJETOS;;18/05/19 12:00;2019;Mayo;2019_05;Masculino;32;FISICA;VICTIMA Y DENUNCIANTE;-99.1649891;19.3817299;19.3817299, -99.1649891
;AMENAZAS;;26/05/19 23:00;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.14831752;19.47098102;19.47098102, -99.14831752
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;27/05/19 22:15;2019;Mayo;2019_05;Masculino;24;FISICA;VICTIMA Y DENUNCIANTE;-99.237061;19.33735235;19.33735235, -99.237061
;ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA;;27/05/19 10:50;2019;Mayo;2019_05;Femenino;28;FISICA;VICTIMA Y DENUNCIANTE;-99.1207412;19.4210021;19.4210021, -99.1207412
;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;;13/05/19 13:00;2019;Mayo;2019_05;Femenino;37;FISICA;VICTIMA Y DENUNCIANTE;-99.1542853;19.4143795;19.4143795, -99.1542853
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;27/05/19 22:00;2019;Mayo;2019_05;Masculino;30;FISICA;VICTIMA Y DENUNCIANTE;-99.10101688;19.47017048;19.47017048, -99.10101688
;LESIONES CULPOSAS POR TRANSITO VEHICULAR;;21/05/19 21:01;2019;Mayo;2019_05;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.0440891;19.3384082;19.3384082, -99.0440891
;USURPACIÓN DE IDENTIDAD;;28/05/19 13:40;2019;Mayo;2019_05;Femenino;41;FISICA;VICTIMA Y DENUNCIANTE;-99.182625;19.3633518;19.3633518, -99.182625
;TENTATIVA DE EXTORSION;;28/05/19 17:56;2019;Mayo;2019_05;Masculino;49;FISICA;VICTIMA Y DENUNCIANTE;-99.11638823;19.35908437;19.35908437, -99.11638823
;VIOLENCIA FAMILIAR;;28/05/19 17:00;2019;Mayo;2019_05;Femenino;58;FISICA;VICTIMA Y DENUNCIANTE;-99.1842114;19.4579141;19.4579141, -99.1842114
;VIOLENCIA FAMILIAR;;19/05/19 14:00;2019;Mayo;2019_05;Femenino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.2735972;19.3611003;19.3611003, -99.2735972
;VIOLENCIA FAMILIAR;;28/05/19 19:45;2019;Mayo;2019_05;Femenino;45;FISICA;VICTIMA Y DENUNCIANTE;-99.1199408;19.2433223;19.2433223, -99.1199408
;DELITOS AMBIENTALES;;19/05/19 9:00;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.10713659;19.45743029;19.45743029, -99.10713659
;DESPOJO;;28/05/19 16:30;2019;Mayo;2019_05;Masculino;72;FISICA;VICTIMA Y DENUNCIANTE;-99.0820886;19.3903986;19.3903986, -99.0820886
;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;;28/05/19 13:46;2019;Mayo;2019_05;Femenino;56;FISICA;VICTIMA Y DENUNCIANTE;-99.19051456;19.38954454;19.38954454, -99.19051456
;ABUSO SEXUAL;;28/05/19 20:28;2019;Mayo;2019_05;Femenino;15;FISICA;VICTIMA;-99.11327448;19.40844555;19.40844555, -99.11327448
;VIOLENCIA FAMILIAR;;25/05/19 21:30;2019;Mayo;2019_05;Femenino;19;FISICA;VICTIMA Y DENUNCIANTE;-99.20724275;19.39721294;19.39721294, -99.20724275
;SUSTRACCION DE MENORES;;28/05/19 18:30;2019;Mayo;2019_05;Femenino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.1433884;19.4127199;19.4127199, -99.1433884
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;28/05/19 21:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.07259324;19.45147247;19.45147247, -99.07259324
;VIOLENCIA FAMILIAR;;28/05/19 17:00;2019;Mayo;2019_05;Femenino;38;FISICA;VICTIMA Y DENUNCIANTE;-99.06142227;19.25505639;19.25505639, -99.06142227
;VIOLENCIA FAMILIAR;;24/05/19 11:20;2019;Mayo;2019_05;Femenino;57;FISICA;VICTIMA Y DENUNCIANTE;-99.02388758;19.36261035;19.36261035, -99.02388758
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;28/05/19 22:25;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.1236068;19.39630805;19.39630805, -99.1236068
;VIOLENCIA FAMILIAR;;27/05/19 1:30;2019;Mayo;2019_05;Femenino;23;FISICA;VICTIMA Y DENUNCIANTE;-99.101754;19.2705022;19.2705022, -99.101754
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;15/05/19 20:40;2019;Mayo;2019_05;Femenino;32;FISICA;VICTIMA Y DENUNCIANTE;-99.08644851;19.42032579;19.42032579, -99.08644851
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;28/05/19 22:30;2019;Mayo;2019_05;Masculino;56;FISICA;VICTIMA Y DENUNCIANTE;-99.19499974;19.38819012;19.38819012, -99.19499974
;AMENAZAS;;28/05/19 19:30;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.14408435;19.41259333;19.41259333, -99.14408435
;ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA;;28/05/19 22:00;2019;Mayo;2019_05;Masculino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.12220593;19.48505424;19.48505424, -99.12220593
;MALTRATO ANIMAL;;28/05/19 10:30;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.0704042;19.40807203;19.40807203, -99.0704042
;LESIONES INTENCIONALES POR GOLPES;;20/05/19 1:03;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA;-98.99959862;19.35406404;19.35406404, -98.99959862
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;24/05/19 23:00;2019;Mayo;2019_05;Masculino;49;FISICA;VICTIMA Y DENUNCIANTE;-99.07305638;19.32961099;19.32961099, -99.07305638
;ROBO DE PLACA DE AUTOMOVIL;;28/05/19 18:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA;-99.19397788;19.46403152;19.46403152, -99.19397788
;VIOLENCIA FAMILIAR;;28/05/19 22:40;2019;Mayo;2019_05;Femenino;50;FISICA;VICTIMA Y DENUNCIANTE;-99.13249509;19.36084208;19.36084208, -99.13249509
;LESIONES INTENCIONALES POR ARMA BLANCA;;28/05/19 23:50;2019;Mayo;2019_05;Masculino;NA;FISICA;LESIONADO;NA;NA;
;HOMICIDIO POR ARMA DE FUEGO;;29/05/19 4:00;2019;Mayo;2019_05;Masculino;40;FISICA;CADAVER;-99.14850848;19.40992852;19.40992852, -99.14850848
;ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA;;28/05/19 18:45;2019;Mayo;2019_05;Masculino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.13356897;19.4086139;19.4086139, -99.13356897
;LESIONES INTENCIONALES POR ARMA DE FUEGO;;28/05/19 14:00;2019;Mayo;2019_05;Masculino;52;FISICA;LESIONADO;NA;NA;
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 7:30;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.06637179;19.31940507;19.31940507, -99.06637179
;AMENAZAS;;20/05/19 21:00;2019;Mayo;2019_05;Femenino;43;FISICA;VICTIMA Y DENUNCIANTE;-99.14435227;19.42691108;19.42691108, -99.14435227
;VIOLENCIA FAMILIAR;;28/05/19 18:00;2019;Mayo;2019_05;Femenino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.10112779;19.32487945;19.32487945, -99.10112779
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;26/05/19 20:00;2019;Mayo;2019_05;Masculino;35;FISICA;VICTIMA Y DENUNCIANTE;-99.01417874;19.34024065;19.34024065, -99.01417874
;ROBO A NEGOCIO SIN VIOLENCIA;;29/05/19 9:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.16760944;19.41143497;19.41143497, -99.16760944
;ROBO A REPARTIDOR CON VIOLENCIA;;28/05/19 15:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.01878462;19.32689103;19.32689103, -99.01878462
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;27/05/19 15:00;2019;Mayo;2019_05;Masculino;58;FISICA;VICTIMA Y DENUNCIANTE;-99.02766746;19.33582637;19.33582637, -99.02766746
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;24/05/19 10:30;2019;Mayo;2019_05;Masculino;19;FISICA;VICTIMA Y DENUNCIANTE;-98.99589268;19.21711473;19.21711473, -98.99589268
;ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA;;28/05/19 21:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.1875453;19.46873581;19.46873581, -99.1875453
;ROBO DE MOTOCICLETA CON VIOLENCIA;;24/05/19 23:57;2019;Mayo;2019_05;Masculino;20;FISICA;VICTIMA Y DENUNCIANTE;-99.1327151;19.30752318;19.30752318, -99.1327151
;DDH RELACIONADAS;;28/05/19 23:00;2019;Mayo;2019_05;Masculino;23;FISICA;LESIONADO;-99.14923207;19.40993034;19.40993034, -99.14923207
;ROBO A REPARTIDOR CON VIOLENCIA;;24/05/19 12:30;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.24225905;19.38259962;19.38259962, -99.24225905
;ABUSO SEXUAL;;23/05/19 3:00;2019;Mayo;2019_05;Femenino;21;FISICA;VICTIMA Y DENUNCIANTE;-99.19972313;19.39195882;19.39195882, -99.19972313
;VIOLENCIA FAMILIAR;;24/05/19 9:15;2019;Mayo;2019_05;Masculino;6;FISICA;VICTIMA;-99.14527858;19.37426203;19.37426203, -99.14527858
;AMENAZAS;;22/05/19 22:37;2019;Mayo;2019_05;Femenino;59;FISICA;VICTIMA Y DENUNCIANTE;-99.13533891;19.43620528;19.43620528, -99.13533891
;VIOLENCIA FAMILIAR;;22/05/19 23:40;2019;Mayo;2019_05;Femenino;35;FISICA;VICTIMA Y DENUNCIANTE;-98.99980242;19.37095204;19.37095204, -98.99980242
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;29/05/19 7:30;2019;Mayo;2019_05;Masculino;42;FISICA;VICTIMA Y DENUNCIANTE;-99.15086515;19.51209859;19.51209859, -99.15086515
;VIOLENCIA FAMILIAR;;21/05/19 14:40;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.00746925;19.34397293;19.34397293, -99.00746925
;FRAUDE;;21/05/19 16:00;2019;Mayo;2019_05;Femenino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.15283617;19.31218751;19.31218751, -99.15283617
;ROBO A CASA HABITACION SIN VIOLENCIA;;26/05/19 0:30;2019;Mayo;2019_05;Masculino;68;FISICA;VICTIMA Y DENUNCIANTE;-99.13116946;19.39329568;19.39329568, -99.13116946
;PERDIDA DE LA VIDA POR QUEMADURA;;29/05/19 13:18;2019;Mayo;2019_05;Masculino;26;FISICA;CADAVER;-99.11041711;19.45777342;19.45777342, -99.11041711
;AMENAZAS;;29/05/19 9:45;2019;Mayo;2019_05;Masculino;40;FISICA;VICTIMA Y DENUNCIANTE;-99.15799801;19.34537972;19.34537972, -99.15799801
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;29/05/19 12:05;2019;Mayo;2019_05;Masculino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.08028376;19.3717489;19.3717489, -99.08028376
;ROBO A NEGOCIO SIN VIOLENCIA;;28/05/19 7:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA;-99.22040283;19.31412449;19.31412449, -99.22040283
;VIOLENCIA FAMILIAR;;24/05/19 19:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.11774279;19.37372523;19.37372523, -99.11774279
;MALTRATO ANIMAL;;07/05/19 21:00;2019;Mayo;2019_05;Femenino;24;FISICA;VICTIMA Y DENUNCIANTE;-98.98219356;19.34439161;19.34439161, -98.98219356
;ROBO DE ACCESORIOS DE AUTO;;28/05/19 22:15;2019;Mayo;2019_05;Femenino;46;FISICA;VICTIMA Y DENUNCIANTE;-99.16245876;19.44290453;19.44290453, -99.16245876
;AMENAZAS;;28/05/19 10:00;2019;Mayo;2019_05;Masculino;46;FISICA;VICTIMA Y DENUNCIANTE;-99.1334274;19.2791367;19.2791367, -99.1334274
;VIOLACION EQUIPARADA;;29/05/19 10:30;2019;Mayo;2019_05;Femenino;15;FISICA;VICTIMA;-99.0540397;19.337921;19.337921, -99.0540397
;DAÑO EN PROPIEDAD AJENA INTENCIONAL;;29/05/19 9:40;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.22223699;19.37840122;19.37840122, -99.22223699
;VIOLENCIA FAMILIAR;;29/05/19 9:30;2019;Mayo;2019_05;Femenino;25;FISICA;VICTIMA Y DENUNCIANTE;-99.1694523;19.49282351;19.49282351, -99.1694523
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;17/05/19 8:00;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.1930761;19.4293502;19.4293502, -99.1930761
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;16/05/19 15:00;2019;Mayo;2019_05;Masculino;64;FISICA;VICTIMA Y DENUNCIANTE;-99.17925382;19.45056642;19.45056642, -99.17925382
;FRAUDE;;14/05/19 13:00;2019;Mayo;2019_05;Femenino;61;FISICA;VICTIMA Y DENUNCIANTE;-99.17366547;19.34571346;19.34571346, -99.17366547
;ROBO A CASA HABITACION SIN VIOLENCIA;;17/05/19 8:00;2019;Mayo;2019_05;Masculino;35;FISICA;VICTIMA Y DENUNCIANTE;-99.16420717;19.44405112;19.44405112, -99.16420717
;ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA;;15/05/19 23:00;2019;Mayo;2019_05;Masculino;27;FISICA;VICTIMA Y DENUNCIANTE;-99.07654129;19.40917891;19.40917891, -99.07654129
;DESPOJO;;17/05/19 11:30;2019;Mayo;2019_05;Femenino;71;FISICA;VICTIMA Y DENUNCIANTE;-99.1293521;19.39027127;19.39027127, -99.1293521
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;15/05/19 23:40;2019;Mayo;2019_05;Masculino;42;FISICA;VICTIMA Y DENUNCIANTE;-99.13361044;19.51132846;19.51132846, -99.13361044
;PRIVACION DE LA LIBERTAD PERSONAL;;17/05/19 10:00;2019;Mayo;2019_05;Femenino;24;FISICA;VICTIMA Y DENUNCIANTE;-99.16327237;19.41012864;19.41012864, -99.16327237
;PRIVACION DE LA LIBERTAD PERSONAL;;17/05/19 7:30;2019;Mayo;2019_05;Femenino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.15760782;19.39092788;19.39092788, -99.15760782
;AMENAZAS;;16/05/19 18:00;2019;Mayo;2019_05;Masculino;26;FISICA;VICTIMA Y DENUNCIANTE;-99.20303017;19.45764469;19.45764469, -99.20303017
;ROBO DE ACCESORIOS DE AUTO;;17/05/19 8:00;2019;Mayo;2019_05;Masculino;60;FISICA;VICTIMA Y DENUNCIANTE;-99.0908654;19.4687422;19.4687422, -99.0908654
;ROBO DE OBJETOS;;16/05/19 20:00;2019;Mayo;2019_05;Femenino;46;FISICA;VICTIMA Y DENUNCIANTE;-99.13008058;19.45998212;19.45998212, -99.13008058
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;17/05/19 11:25;2019;Mayo;2019_05;Masculino;60;FISICA;VICTIMA Y DENUNCIANTE;-99.14565241;19.49070845;19.49070845, -99.14565241
;VIOLENCIA FAMILIAR;;17/05/19 11:00;2019;Mayo;2019_05;Femenino;20;FISICA;VICTIMA Y DENUNCIANTE;-98.9506488;19.2256219;19.2256219, -98.9506488
;ROBO DE OBJETOS;;17/05/19 7:30;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.22396507;19.32496462;19.32496462, -99.22396507
;AMENAZAS;;17/05/19 9:00;2019;Mayo;2019_05;Masculino;62;FISICA;VICTIMA Y DENUNCIANTE;-99.16623514;19.47051554;19.47051554, -99.16623514
;DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL;;16/05/19 3:00;2019;Mayo;2019_05;Masculino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.07604858;19.39457174;19.39457174, -99.07604858
;ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA;;16/05/19 5:30;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.21244478;19.37112826;19.37112826, -99.21244478
;VIOLENCIA FAMILIAR;;12/05/19 16:00;2019;Mayo;2019_05;Femenino;69;FISICA;VICTIMA Y DENUNCIANTE;-99.24726642;19.2890384;19.2890384, -99.24726642
;VIOLENCIA FAMILIAR;;17/05/19 9:30;2019;Mayo;2019_05;Femenino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.1472485;19.4689929;19.4689929, -99.1472485
;INSOLVENCIA ALIMENTARIA;;17/05/19 15:45;2019;Mayo;2019_05;Femenino;NA;FISICA;VICTIMA;-99.1728122;19.3867335;19.3867335, -99.1728122
;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;;16/05/19 21:00;2019;Mayo;2019_05;Masculino;38;FISICA;VICTIMA Y DENUNCIANTE;-99.16150401;19.29063518;19.29063518, -99.16150401
;ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA;;08/05/19 14:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA Y DENUNCIANTE;-99.0918038;19.4963675;19.4963675, -99.0918038
;ROBO DE VEHICULO DE SERVICIO PÚBLICO SIN VIOLENCIA;;16/05/19 22:00;2019;Mayo;2019_05;Masculino;55;FISICA;VICTIMA Y DENUNCIANTE;-99.14796659;19.51843635;19.51843635, -99.14796659
;ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA;;16/05/19 5:20;2019;Mayo;2019_05;Masculino;32;FISICA;VICTIMA Y DENUNCIANTE;-99.05346642;19.3626293;19.3626293, -99.05346642
;ROBO DE DOCUMENTOS;;12/05/19 14:00;2019;Mayo;2019_05;Masculino;NA;FISICA;VICTIMA;-99.1858623;19.4071143;19.4071143, -99.1858623
;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;;16/05/19 4:04;2019;Mayo;2019_05;Masculino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.17018582;19.36829449;19.36829449, -99.17018582
;ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA;;16/05/19 17:20;2019;Mayo;2019_05;Masculino;33;FISICA;VICTIMA Y DENUNCIANTE;-99.2247227;19.2248643;19.2248643, -99.2247227
;ROBO A NEGOCIO CON VIOLENCIA;;16/05/19 18:30;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.18313744;19.38470165;19.38470165, -99.18313744
;ABUSO DE AUTORIDAD;;15/05/19 3:15;2019;Mayo;2019_05;Masculino;29;FISICA;VICTIMA Y DENUNCIANTE;-99.2287813;19.2844358;19.2844358, -99.2287813
;ROBO DE VEHICULO DE PEDALES;;13/05/19 16:40;2019;Mayo;2019_05;Masculino;36;FISICA;VICTIMA Y DENUNCIANTE;-99.16228762;19.40056248;19.40056248, -99.16228762
;ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA;;17/05/19 15:20;2019;Mayo;2019_05;Femenino;31;FISICA;VICTIMA Y DENUNCIANTE;-99.0516966;19.39376664;19.39376664, -99.0516966
;AMENAZAS;;13/05/19 18:15;2019;Mayo;2019_05;Femenino;20;FISICA;VICTIMA Y DENUNCIANTE;-99.1270471;19.5595897;19.5595897, -99.1270471
;FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO;;05/05/19 12:54;2019;Mayo;2019_05;Masculino;57;FISICA;VICTIMA Y DENUNCIANTE;-99.13671629;19.28592833;19.28592833, -99.13671629
;ROBO A REPARTIDOR CON VIOLENCIA;;17/05/19 9:10;2019;Mayo;2019_05;NA;NA;MORAL;VICTIMA;-99.09741539;19.41755809;19.41755809, -99.09741539
